eavesdrop_prob,noise_prob,qber_mean,qber_std,qber_count,sifted_key_length_mean,sifted_key_length_std,sifted_key_rate_mean,protocol_efficiency_mean
0.0,0.0,0.0,0.0,20,51.05,4.466,0.5105,1.0
0.0,0.05,0.042,0.0356,20,49.05,6.5733,0.4905,0.958
0.1,0.0,0.0243,0.0159,20,50.35,4.2831,0.5035,0.9757
0.1,0.05,0.0643,0.0309,20,48.85,4.5222,0.4885,0.9357
0.2,0.0,0.049,0.0361,20,50.15,5.2843,0.5015,0.951
0.2,0.05,0.0823,0.0451,20,49.25,4.689,0.4925,0.9177
0.3,0.0,0.065,0.0337,20,50.15,3.7031,0.5015,0.935
0.3,0.05,0.1062,0.0488,20,48.85,3.1834,0.4885,0.8938
0.5,0.0,0.1265,0.0395,20,50.35,4.8153,0.5035,0.8735
0.5,0.05,0.145,0.0364,20,47.7,5.9392,0.477,0.855
